link,name,popularity,year
http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,All The Right Friends Lyrics,1,2003
http://www.metrolyrics.com/all-the-way-to-reno-lyrics-rem.html,All the Way to Reno Lyrics,0,2003
http://www.metrolyrics.com/all-the-way-to-reno-youre-gonna-be-a-star-lyrics-rem.html,All The Way To Reno (You're Gonna Be A Star) Lyrics,0,2006
http://www.metrolyrics.com/alligator-aviator-autopilot-antimatter-lyrics-rem.html,Alligator Aviator Autopilot Antimatter Lyrics,0,2011
http://www.metrolyrics.com/andy-gets-fired-lyrics-rem.html,Andy Gets Fired Lyrics,0,2008
http://www.metrolyrics.com/animal-lyrics-rem.html,Animal Lyrics,1,2003
http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,Arms Of Love Lyrics,1,2006
http://www.metrolyrics.com/around-the-sun-lyrics-rem.html,Around The Sun Lyrics,0,2004
http://www.metrolyrics.com/at-my-most-beautiful-lyrics-rem.html,At My Most Beautiful Lyrics,0,2003
http://www.metrolyrics.com/at-my-most-beautifull-lyrics-rem.html,At My Most Beautifull Lyrics,0,2006
http://www.metrolyrics.com/auctioneer-lyrics-rem.html,Auctioneer Lyrics,0,2006
http://www.metrolyrics.com/auctioneer-another-engine-lyrics-rem.html,Auctioneer (another Engine) Lyrics,0,2006
http://www.metrolyrics.com/aaberlin-lyrics-rem.html,ÃœBerlin Lyrics,0,2011
http://www.metrolyrics.com/baby-baby-lyrics-rem.html,Baby Baby Lyrics,0,2006
http://www.metrolyrics.com/baby-i-lyrics-rem.html,"Baby, I Lyrics",0,2006
http://www.metrolyrics.com/bad-day-lyrics-rem.html,Bad Day Lyrics,3,2003
http://www.metrolyrics.com/bandwagon-lyrics-rem.html,Bandwagon Lyrics,0,2006
http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,Bang And Blame Lyrics,2,2006
http://www.metrolyrics.com/be-mine-lyrics-rem.html,Be Mine Lyrics,0,2006
http://www.metrolyrics.com/beach-ball-lyrics-rem.html,Beach Ball Lyrics,0,2006
http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,Beat A Drum Lyrics,2,2014
http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,Begin The Begin Lyrics,2,2011
http://www.metrolyrics.com/belong-lyrics-rem.html,Belong Lyrics,0,2014
http://www.metrolyrics.com/binky-the-doormat-lyrics-rem.html,Binky The Doormat Lyrics,0,2006
http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,Bittersweet Me Lyrics,2,2006
http://www.metrolyrics.com/blue-lyrics-rem.html,Blue Lyrics,0,2011
http://www.metrolyrics.com/body-count-lyrics-rem.html,Body Count Lyrics,0,2006
http://www.metrolyrics.com/burning-down-lyrics-rem.html,Burning Down Lyrics,0,2006
http://www.metrolyrics.com/burning-hell-lyrics-rem.html,Burning Hell Lyrics,0,2006
http://www.metrolyrics.com/camera-lyrics-rem.html,Camera Lyrics,1,2006
http://www.metrolyrics.com/cant-get-there-from-here-lyrics-rem.html,Can't Get There From Here Lyrics,0,2006
http://www.metrolyrics.com/carnival-of-sorts-lyrics-rem.html,Carnival of Sorts Lyrics,0,2006
http://www.metrolyrics.com/carnival-of-sorts-box-cars-lyrics-rem.html,Carnival Of Sorts (box Cars) Lyrics,0,2006
http://www.metrolyrics.com/catapult-lyrics-rem.html,Catapult Lyrics,1,2006
http://www.metrolyrics.com/chance-lyrics-rem.html,Chance Lyrics,0,2006
http://www.metrolyrics.com/chorus-and-he-ring-lyrics-rem.html,Chorus and he Ring Lyrics,0,2016
http://www.metrolyrics.com/chorus-and-the-ring-lyrics-rem.html,Chorus And The Ring Lyrics,0,2006
http://www.metrolyrics.com/christmas-griping-lyrics-rem.html,Christmas Griping Lyrics,0,2018
http://www.metrolyrics.com/circus-envy-lyrics-rem.html,Circus Envy Lyrics,0,2006
http://www.metrolyrics.com/country-feedback-lyrics-rem.html,Country Feedback Lyrics,3,2011
http://www.metrolyrics.com/crazy-lyrics-rem.html,Crazy Lyrics,2,2006
http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,Crush With Eyeliner Lyrics,3,2006
http://www.metrolyrics.com/cuyahoga-lyrics-rem.html,Cuyahoga Lyrics,1,2014
http://www.metrolyrics.com/dangerous-times-lyrics-rem.html,Dangerous Times Lyrics,0,2006
http://www.metrolyrics.com/dark-globe-lyrics-rem.html,Dark Globe Lyrics,0,2006
http://www.metrolyrics.com/daysleeper-lyrics-rem.html,Daysleeper Lyrics,3,2003
http://www.metrolyrics.com/deck-the-halls-lyrics-rem.html,Deck The Halls Lyrics,0,2016
http://www.metrolyrics.com/departure-lyrics-rem.html,Departure Lyrics,0,2006
http://www.metrolyrics.com/diminished-lyrics-rem.html,Diminished Lyrics,0,2006
http://www.metrolyrics.com/diminishedim-not-over-you-lyrics-rem.html,Diminished/I'm Not Over You Lyrics,0,2016
http://www.metrolyrics.com/disappear-lyrics-rem.html,Disappear Lyrics,1,2014
http://www.metrolyrics.com/discover-lyrics-rem.html,Discover Lyrics,0,2010
